,orderID,productID,unitPrice,quantity,discount,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight,_merge_x,productName,quantityPerUnit,ProdUnitPrice,discontinued,categoryID,categoryName,description,_merge_y,companyNameShipper,CustomerCompanyName,CustomertName,contactTitle,CustomerCity,CustomerCountry,employeeName,EmployeeTitle,EmployeeCity,EmployeeCountry,EmpReportsTo,SalesAmount(USD),OrderYear,OrderMonth,OrderQuarter,daysToShip
10,10251,65,16.8,20,0.0,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,both,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",both,Speedy Express,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,336.0,2013,July,Q3,7.0
11,10252,20,64.8,40,0.05,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3,both,Sir Rodney's Marmalade,30 gift boxes,81.0,0,3,Confections,"Desserts, candies, and sweet breads",both,United Package,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,2591.95,2013,July,Q3,2.0
12,10252,33,2.0,25,0.05,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3,both,Geitost,500 g,2.5,0,4,Dairy Products,Cheeses,both,United Package,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,49.95,2013,July,Q3,2.0
13,10252,60,27.2,40,0.0,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3,both,Camembert Pierrot,15 - 300 g rounds,34.0,0,4,Dairy Products,Cheeses,both,United Package,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,1088.0,2013,July,Q3,2.0
14,10253,31,10.0,20,0.0,HANAR,3,2013-07-10,2013-07-24,2013-07-16,2,58.17,both,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,4,Dairy Products,Cheeses,both,United Package,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,200.0,2013,July,Q3,6.0
15,10253,39,14.4,42,0.0,HANAR,3,2013-07-10,2013-07-24,2013-07-16,2,58.17,both,Chartreuse verte,750 cc per bottle,18.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,United Package,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,604.8000000000001,2013,July,Q3,6.0
16,10253,49,16.0,40,0.0,HANAR,3,2013-07-10,2013-07-24,2013-07-16,2,58.17,both,Maxilaku,24 - 50 g pkgs.,20.0,0,3,Confections,"Desserts, candies, and sweet breads",both,United Package,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,640.0,2013,July,Q3,6.0
17,10254,24,3.6,15,0.15,CHOPS,5,2013-07-11,2013-08-08,2013-07-23,2,22.98,both,Guarana Fantastica,12 - 355 ml cans,4.5,1,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,United Package,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,53.85,2013,July,Q3,12.0
18,10254,55,19.2,21,0.15,CHOPS,5,2013-07-11,2013-08-08,2013-07-23,2,22.98,both,Pâté chinois,24 boxes x 2 pies,24.0,0,6,Meat & Poultry,Prepared meats,both,United Package,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,403.05,2013,July,Q3,12.0
19,10254,74,8.0,21,0.0,CHOPS,5,2013-07-11,2013-08-08,2013-07-23,2,22.98,both,Longlife Tofu,5 kg pkg.,10.0,0,7,Produce,Dried fruit and bean curd,both,United Package,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,168.0,2013,July,Q3,12.0
20,10255,2,15.2,20,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33,both,Chang,24 - 12 oz bottles,19.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Federal Shipping,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,304.0,2013,July,Q3,3.0
21,10255,16,13.9,35,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33,both,Pavlova,32 - 500 g boxes,17.45,0,3,Confections,"Desserts, candies, and sweet breads",both,Federal Shipping,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,486.5,2013,July,Q3,3.0
22,10255,36,15.2,25,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33,both,Inlagd Sill,24 - 250 g  jars,19.0,0,8,Seafood,Seaweed and fish,both,Federal Shipping,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,380.0,2013,July,Q3,3.0
23,10255,59,44.0,30,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33,both,Raclette Courdavault,5 kg pkg.,55.0,0,4,Dairy Products,Cheeses,both,Federal Shipping,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,1320.0,2013,July,Q3,3.0
24,10256,53,26.2,15,0.0,WELLI,3,2013-07-15,2013-08-12,2013-07-17,2,13.97,both,Perth Pasties,48 pieces,32.8,1,6,Meat & Poultry,Prepared meats,both,United Package,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,393.0,2013,July,Q3,2.0
25,10256,77,10.4,12,0.0,WELLI,3,2013-07-15,2013-08-12,2013-07-17,2,13.97,both,Original Frankfurter Grüne Soße,12 boxes,13.0,0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",both,United Package,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,124.80000000000001,2013,July,Q3,2.0
26,10257,27,35.1,25,0.0,HILAA,4,2013-07-16,2013-08-13,2013-07-22,3,81.91,both,Schoggi Schokolade,100 - 100 g pieces,43.9,0,3,Confections,"Desserts, candies, and sweet breads",both,Federal Shipping,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,877.5,2013,July,Q3,6.0
27,10257,39,14.4,6,0.0,HILAA,4,2013-07-16,2013-08-13,2013-07-22,3,81.91,both,Chartreuse verte,750 cc per bottle,18.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Federal Shipping,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,86.4,2013,July,Q3,6.0
28,10257,77,10.4,15,0.0,HILAA,4,2013-07-16,2013-08-13,2013-07-22,3,81.91,both,Original Frankfurter Grüne Soße,12 boxes,13.0,0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",both,Federal Shipping,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,156.0,2013,July,Q3,6.0
29,10258,2,15.2,50,0.2,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51,both,Chang,24 - 12 oz bottles,19.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Speedy Express,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,Laura Callahan,759.8,2013,July,Q3,6.0
30,10258,5,17.0,65,0.2,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51,both,Chef Anton's Gumbo Mix,36 boxes,21.35,1,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",both,Speedy Express,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,Laura Callahan,1104.8,2013,July,Q3,6.0
31,10258,32,25.6,6,0.2,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51,both,Mascarpone Fabioli,24 - 200 g pkgs.,32.0,0,4,Dairy Products,Cheeses,both,Speedy Express,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,Laura Callahan,153.40000000000003,2013,July,Q3,6.0
32,10259,21,8.0,10,0.0,CENTC,4,2013-07-18,2013-08-15,2013-07-25,3,3.25,both,Sir Rodney's Scones,24 pkgs. x 4 pieces,10.0,0,3,Confections,"Desserts, candies, and sweet breads",both,Federal Shipping,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,80.0,2013,July,Q3,7.0
33,10259,37,20.8,1,0.0,CENTC,4,2013-07-18,2013-08-15,2013-07-25,3,3.25,both,Gravad lax,12 - 500 g pkgs.,26.0,0,8,Seafood,Seaweed and fish,both,Federal Shipping,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,20.8,2013,July,Q3,7.0
34,10260,41,7.7,16,0.25,OTTIK,4,2013-07-19,2013-08-16,2013-07-29,1,55.09,both,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,8,Seafood,Seaweed and fish,both,Speedy Express,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,122.95,2013,July,Q3,10.0
35,10260,57,15.6,50,0.0,OTTIK,4,2013-07-19,2013-08-16,2013-07-29,1,55.09,both,Ravioli Angelo,24 - 250 g pkgs.,19.5,0,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",both,Speedy Express,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,780.0,2013,July,Q3,10.0
36,10260,62,39.4,15,0.25,OTTIK,4,2013-07-19,2013-08-16,2013-07-29,1,55.09,both,Tarte au sucre,48 pies,49.3,0,3,Confections,"Desserts, candies, and sweet breads",both,Speedy Express,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,590.75,2013,July,Q3,10.0
37,10260,70,12.0,21,0.25,OTTIK,4,2013-07-19,2013-08-16,2013-07-29,1,55.09,both,Outback Lager,24 - 355 ml bottles,15.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Speedy Express,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,251.75,2013,July,Q3,10.0
38,10261,21,8.0,20,0.0,QUEDE,4,2013-07-19,2013-08-16,2013-07-30,2,3.05,both,Sir Rodney's Scones,24 pkgs. x 4 pieces,10.0,0,3,Confections,"Desserts, candies, and sweet breads",both,United Package,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,160.0,2013,July,Q3,11.0
39,10261,35,14.4,20,0.0,QUEDE,4,2013-07-19,2013-08-16,2013-07-30,2,3.05,both,Steeleye Stout,24 - 12 oz bottles,18.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,United Package,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,288.0,2013,July,Q3,11.0
40,10262,5,17.0,12,0.2,RATTC,8,2013-07-22,2013-08-19,2013-07-25,3,48.29,both,Chef Anton's Gumbo Mix,36 boxes,21.35,1,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",both,Federal Shipping,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,Andrew Fuller,203.8,2013,July,Q3,3.0
41,10262,7,24.0,15,0.0,RATTC,8,2013-07-22,2013-08-19,2013-07-25,3,48.29,both,Uncle Bob's Organic Dried Pears,12 - 1 lb pkgs.,30.0,0,7,Produce,Dried fruit and bean curd,both,Federal Shipping,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,Andrew Fuller,360.0,2013,July,Q3,3.0
42,10262,56,30.4,2,0.0,RATTC,8,2013-07-22,2013-08-19,2013-07-25,3,48.29,both,Gnocchi di nonna Alice,24 - 250 g pkgs.,38.0,0,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",both,Federal Shipping,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,Andrew Fuller,60.8,2013,July,Q3,3.0
43,10263,16,13.9,60,0.25,ERNSH,9,2013-07-23,2013-08-20,2013-07-31,3,146.06,both,Pavlova,32 - 500 g boxes,17.45,0,3,Confections,"Desserts, candies, and sweet breads",both,Federal Shipping,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,833.75,2013,July,Q3,8.0
44,10263,24,3.6,28,0.0,ERNSH,9,2013-07-23,2013-08-20,2013-07-31,3,146.06,both,Guarana Fantastica,12 - 355 ml cans,4.5,1,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Federal Shipping,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,100.8,2013,July,Q3,8.0
45,10263,30,20.7,60,0.25,ERNSH,9,2013-07-23,2013-08-20,2013-07-31,3,146.06,both,Nord-Ost Matjeshering,10 - 200 g glasses,25.89,0,8,Seafood,Seaweed and fish,both,Federal Shipping,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,1241.75,2013,July,Q3,8.0
46,10263,74,8.0,36,0.25,ERNSH,9,2013-07-23,2013-08-20,2013-07-31,3,146.06,both,Longlife Tofu,5 kg pkg.,10.0,0,7,Produce,Dried fruit and bean curd,both,Federal Shipping,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,Steven Buchanan,287.75,2013,July,Q3,8.0
47,10264,2,15.2,35,0.0,FOLKO,6,2013-07-24,2013-08-21,2013-08-23,3,3.67,both,Chang,24 - 12 oz bottles,19.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Federal Shipping,Folk och fä HB,Maria Larsson,Owner,Bräcke,Sweden,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,532.0,2013,July,Q3,30.0
48,10264,41,7.7,25,0.15,FOLKO,6,2013-07-24,2013-08-21,2013-08-23,3,3.67,both,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,8,Seafood,Seaweed and fish,both,Federal Shipping,Folk och fä HB,Maria Larsson,Owner,Bräcke,Sweden,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,192.35,2013,July,Q3,30.0
49,10265,17,31.2,30,0.0,BLONP,2,2013-07-25,2013-08-22,2013-08-12,1,55.28,both,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,both,Speedy Express,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France,Andrew Fuller,Vice President Sales,New York,USA,,936.0,2013,July,Q3,18.0
50,10265,70,12.0,20,0.0,BLONP,2,2013-07-25,2013-08-22,2013-08-12,1,55.28,both,Outback Lager,24 - 355 ml bottles,15.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Speedy Express,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France,Andrew Fuller,Vice President Sales,New York,USA,,240.0,2013,July,Q3,18.0
51,10266,12,30.4,12,0.05,WARTH,3,2013-07-26,2013-09-06,2013-07-31,3,25.73,both,Queso Manchego La Pastora,10 - 500 g pkgs.,38.0,0,4,Dairy Products,Cheeses,both,Federal Shipping,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,364.74999999999994,2013,July,Q3,5.0
52,10267,40,14.7,50,0.0,FRANK,4,2013-07-29,2013-08-26,2013-08-06,1,208.58,both,Boston Crab Meat,24 - 4 oz tins,18.4,0,8,Seafood,Seaweed and fish,both,Speedy Express,Frankenversand,Peter Franken,Marketing Manager,München,Germany,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,735.0,2013,July,Q3,8.0
53,10267,59,44.0,70,0.15,FRANK,4,2013-07-29,2013-08-26,2013-08-06,1,208.58,both,Raclette Courdavault,5 kg pkg.,55.0,0,4,Dairy Products,Cheeses,both,Speedy Express,Frankenversand,Peter Franken,Marketing Manager,München,Germany,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,3079.85,2013,July,Q3,8.0
54,10267,76,14.4,15,0.15,FRANK,4,2013-07-29,2013-08-26,2013-08-06,1,208.58,both,Lakkaliköri,500 ml,18.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Speedy Express,Frankenversand,Peter Franken,Marketing Manager,München,Germany,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,215.85,2013,July,Q3,8.0
55,10268,29,99.0,10,0.0,GROSR,8,2013-07-30,2013-08-27,2013-08-02,3,66.29,both,Thüringer Rostbratwurst,50 bags x 30 sausgs.,123.79,1,6,Meat & Poultry,Prepared meats,both,Federal Shipping,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela,Laura Callahan,Sales Manager,New York,USA,Andrew Fuller,990.0,2013,July,Q3,3.0
56,10268,72,27.8,4,0.0,GROSR,8,2013-07-30,2013-08-27,2013-08-02,3,66.29,both,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,Dairy Products,Cheeses,both,Federal Shipping,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela,Laura Callahan,Sales Manager,New York,USA,Andrew Fuller,111.2,2013,July,Q3,3.0
57,10269,33,2.0,60,0.05,WHITC,5,2013-07-31,2013-08-14,2013-08-09,1,4.56,both,Geitost,500 g,2.5,0,4,Dairy Products,Cheeses,both,Speedy Express,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,119.95,2013,July,Q3,9.0
58,10269,72,27.8,20,0.05,WHITC,5,2013-07-31,2013-08-14,2013-08-09,1,4.56,both,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,Dairy Products,Cheeses,both,Speedy Express,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,555.95,2013,July,Q3,9.0
59,10270,36,15.2,30,0.0,WARTH,1,2013-08-01,2013-08-29,2013-08-02,1,136.54,both,Inlagd Sill,24 - 250 g  jars,19.0,0,8,Seafood,Seaweed and fish,both,Speedy Express,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Nancy Davolio,Sales Representative,New York,USA,Laura Callahan,456.0,2013,August,Q3,1.0
60,10270,43,36.8,25,0.0,WARTH,1,2013-08-01,2013-08-29,2013-08-02,1,136.54,both,Ipoh Coffee,16 - 500 g tins,46.0,0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",both,Speedy Express,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Nancy Davolio,Sales Representative,New York,USA,Laura Callahan,919.9999999999999,2013,August,Q3,1.0
61,10271,33,2.0,24,0.0,SPLIR,6,2013-08-01,2013-08-29,2013-08-30,2,4.54,both,Geitost,500 g,2.5,0,4,Dairy Products,Cheeses,both,United Package,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,48.0,2013,August,Q3,29.0
62,10272,20,64.8,6,0.0,RATTC,6,2013-08-02,2013-08-30,2013-08-06,2,98.03,both,Sir Rodney's Marmalade,30 gift boxes,81.0,0,3,Confections,"Desserts, candies, and sweet breads",both,United Package,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,388.79999999999995,2013,August,Q3,4.0
63,10272,31,10.0,40,0.0,RATTC,6,2013-08-02,2013-08-30,2013-08-06,2,98.03,both,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,4,Dairy Products,Cheeses,both,United Package,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,400.0,2013,August,Q3,4.0
64,10272,72,27.8,24,0.0,RATTC,6,2013-08-02,2013-08-30,2013-08-06,2,98.03,both,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,Dairy Products,Cheeses,both,United Package,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,667.2,2013,August,Q3,4.0
65,10273,10,24.8,24,0.05,QUICK,3,2013-08-05,2013-09-02,2013-08-12,3,76.07,both,Ikura,12 - 200 ml jars,31.0,0,8,Seafood,Seaweed and fish,both,Federal Shipping,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,595.1500000000001,2013,August,Q3,7.0
66,10273,31,10.0,15,0.05,QUICK,3,2013-08-05,2013-09-02,2013-08-12,3,76.07,both,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,4,Dairy Products,Cheeses,both,Federal Shipping,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,149.95,2013,August,Q3,7.0
67,10273,33,2.0,20,0.0,QUICK,3,2013-08-05,2013-09-02,2013-08-12,3,76.07,both,Geitost,500 g,2.5,0,4,Dairy Products,Cheeses,both,Federal Shipping,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,40.0,2013,August,Q3,7.0
68,10273,40,14.7,60,0.05,QUICK,3,2013-08-05,2013-09-02,2013-08-12,3,76.07,both,Boston Crab Meat,24 - 4 oz tins,18.4,0,8,Seafood,Seaweed and fish,both,Federal Shipping,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,881.95,2013,August,Q3,7.0
